"case","category","search","count"
"Best","time","newest",34
"Best","time","oldest",1
"Best","number","most",5
"Best","number","fewest",3
"Best","reward","lowest",7
"Best","reward","highest",3
"Best","title","a-z",4
"Best","title","z-a",0
"Best","expiration","soonest",6
"Best","expiration","latest",0
"Best","length","shortest",0
"Best","length","longest",7
"Worst","time","newest",7
"Worst","time","oldest",2
"Worst","number","most",11
"Worst","number","fewest",2
"Worst","reward","lowest",15
"Worst","reward","highest",10
"Worst","title","a-z",1
"Worst","title","z-a",0
"Worst","expiration","soonest",3
"Worst","expiration","latest",0
"Worst","length","shortest",0
"Worst","length","longest",7
"Newest","time","newest",21
"Newest","time","oldest",3
"Newest","number","most",14
"Newest","number","fewest",0
"Newest","reward","lowest",6
"Newest","reward","highest",8
"Newest","title","a-z",3
"Newest","title","z-a",0
"Newest","expiration","soonest",2
"Newest","expiration","latest",0
"Newest","length","shortest",0
"Newest","length","longest",1
"A-Z","time","newest",14
"A-Z","time","oldest",2
"A-Z","number","most",18
"A-Z","number","fewest",2
"A-Z","reward","lowest",6
"A-Z","reward","highest",6
"A-Z","title","a-z",17
"A-Z","title","z-a",1
"A-Z","expiration","soonest",4
"A-Z","expiration","latest",0
"A-Z","length","shortest",0
"A-Z","length","longest",0
